,JJ Width (top electrode),X-Coordinate,Y-Coordinate,Conductance (2W) [uS]
4411,140,,,
4412,148,17.22,20.475,
4413,156,17.72,20.475,
4414,164,18.22,20.475,
4415,172,16.22,19.975,
4416,180,16.72,19.975,
4417,188,17.22,19.975,
4418,196,17.72,19.975,
4419,204,18.22,19.975,
4420,212,16.22,19.475,
4421,220,16.72,19.475,
4422,228,,,
4423,236,17.72,19.475,
4424,244,18.22,19.475,
4425,52,18.72,21.475,57.1373843
4426,60,19.22,21.475,61.5521506
4427,68,19.72,21.475,55.3895641
4428,76,20.22,21.475,67.5214626
4429,84,20.72,21.475,37.8404256
4430,92,18.72,20.975,85.9542872
4431,100,,,
4432,108,19.72,20.975,97.391792
4433,116,20.22,20.975,114.913778
4434,124,20.72,20.975,59.3594357
4435,132,18.72,20.475,109.855066
4436,140,19.22,20.475,120.673886
4437,148,19.72,20.475,119.686608
4438,156,20.22,20.475,133.983249
4439,164,20.72,20.475,9.9E+40
4440,172,18.72,19.975,75.2625091
4441,180,19.22,19.975,155.484656
4442,188,19.72,19.975,159.4041
4443,196,20.22,19.975,150.187755
4444,204,20.72,19.975,87.0368256
4445,212,,,
4446,220,19.22,19.475,190.063944
4447,228,19.72,19.475,213.68155
4448,236,20.22,19.475,203.131187
4449,244,,,
4450,52,21.22,21.475,29.3592194
4451,60,21.72,21.475,26.1112692
4452,68,22.22,21.475,56.6650666
4453,76,22.72,21.475,62.6394339
4454,84,23.22,21.475,64.0319586
4455,92,21.22,20.975,93.5253579
4456,100,21.72,20.975,89.5057618
4457,108,22.22,20.975,93.0904907
4458,116,22.72,20.975,109.418287
4459,124,,,
4460,132,21.22,20.475,120.221925
4461,140,21.72,20.475,53.8796135
4462,148,22.22,20.475,117.378269
4463,156,22.72,20.475,123.995838
4464,164,23.22,20.475,135.546743
4465,172,21.22,19.975,150.198569
4466,180,21.72,19.975,4.13736015
4467,188,22.22,19.975,158.575157
4468,196,22.72,19.975,95.9596725
4469,204,,,
4470,212,21.22,19.475,200.340801
4471,220,21.72,19.475,186.518363
4472,228,22.22,19.475,193.494128
4473,236,22.72,19.475,105.813453
4474,244,23.22,19.475,197.526628
4475,52,23.72,21.475,
4476,60,24.22,21.475,
4477,68,24.72,21.475,
4478,76,25.22,21.475,
4479,84,,,
4480,92,23.72,20.975,
4481,100,,,
4482,108,24.72,20.975,
4483,116,,,
4484,124,,,
4485,132,23.72,20.475,
4486,140,24.22,20.475,
4487,148,24.72,20.475,
4488,156,25.22,20.475,
4489,164,25.72,20.475,
4490,172,23.72,19.975,
4491,180,,,
4492,188,24.72,19.975,
4493,196,25.22,19.975,
4494,204,25.72,19.975,
4495,212,,,
4496,220,24.22,19.475,
4497,228,24.72,19.475,
4498,236,,,
4499,244,25.72,19.475,
4500,52,13.72,18.975,32.6331343
4501,60,14.22,18.975,54.6826894
4502,68,14.72,18.975,53.4571706
4503,76,15.22,18.975,72.6256372
4504,84,15.72,18.975,9.9E+40
4505,92,13.72,18.475,42.2874204
4506,100,14.22,18.475,44.3871972
4507,108,,,
4508,116,15.22,18.475,100.282926
4509,124,15.72,18.475,48.6378481
4510,132,13.72,17.975,126.944536
4511,140,14.22,17.975,122.27412
4512,148,14.72,17.975,132.033888
4513,156,,,
4514,164,15.72,17.975,139.010844
4515,172,13.72,17.475,149.664959
4516,180,14.22,17.475,144.314751
4517,188,14.72,17.475,146.724828
4518,196,15.22,17.475,83.471645
4519,204,15.72,17.475,170.985269
4520,212,13.72,16.975,207.190747
4521,220,,,
4522,228,14.72,16.975,189.216873
4523,236,,,
4524,244,15.72,16.975,175.598739
4525,52,16.22,18.975,57.3666892
4526,60,16.72,18.975,31.9608857
4527,68,17.22,18.975,56.8664126
4528,76,17.72,18.975,75.2864255
4529,84,18.22,18.975,71.8102161
4530,92,16.22,18.475,86.7505508
4531,100,16.72,18.475,91.0210257
4532,108,17.22,18.475,78.1636827
4533,116,17.72,18.475,104.4655
4534,124,18.22,18.475,47.6383477
4535,132,16.22,17.975,130.600869
4536,140,16.72,17.975,127.883033
4537,148,17.22,17.975,122.438933
4538,156,17.72,17.975,143.489624
4539,164,,,
4540,172,16.22,17.475,149.381264
4541,180,16.72,17.475,160.649967
4542,188,17.22,17.475,142.439252
4543,196,17.72,17.475,174.123482
4544,204,18.22,17.475,165.882384
4545,212,16.22,16.975,87.90642
4546,220,16.72,16.975,201.837002
4547,228,17.22,16.975,155.732986
4548,236,17.72,16.975,189.820585
4549,244,18.22,16.975,208.505926
4550,52,18.72,18.975,52.7759931
4551,60,19.22,18.975,56.2462442
4552,68,19.72,18.975,58.9249507
4553,76,20.22,18.975,64.707456
4554,84,20.72,18.975,73.5832808
4555,92,,,
4556,100,19.22,18.475,83.7950164
4557,108,19.72,18.475,77.9393766
4558,116,20.22,18.475,86.0598367
4559,124,20.72,18.475,110.190674
4560,132,18.72,17.975,124.39243
4561,140,19.22,17.975,123.760753
4562,148,19.72,17.975,131.558389
4563,156,20.22,17.975,148.392152
4564,164,,,
4565,172,18.72,17.475,148.109788
4566,180,19.22,17.475,155.315327
4567,188,19.72,17.475,168.847794
4568,196,20.22,17.475,180.136095
4569,204,20.72,17.475,171.153447
4570,212,18.72,16.975,160.58692
4571,220,19.22,16.975,208.182984
4572,228,19.72,16.975,200.14756
4573,236,20.22,16.975,165.123192
4574,244,20.72,16.975,206.321003
4575,52,21.22,18.975,58.3691239
4576,60,,,
4577,68,22.22,18.975,60.8829292
4578,76,22.72,18.975,32.0570188
4579,84,23.22,18.975,33.6748831
4580,92,21.22,18.475,92.096884
4581,100,21.72,18.475,43.9435866
4582,108,22.22,18.475,86.4405447
4583,116,22.72,18.475,9.9E+40
4584,124,23.22,18.475,87.412437
4585,132,21.22,17.975,125.968945
4586,140,21.72,17.975,111.668844
4587,148,,,
4588,156,22.72,17.975,138.35607
4589,164,23.22,17.975,156.189359
4590,172,21.22,17.475,155.947531
4591,180,21.72,17.475,144.014102
4592,188,22.22,17.475,144.553117
4593,196,22.72,17.475,196.664678
4594,204,23.22,17.475,153.794785
4595,212,21.22,16.975,208.68647
4596,220,21.72,16.975,158.550959
4597,228,,,
4598,236,22.72,16.975,204.639144
4599,244,23.22,16.975,179.035661
4600,52,23.72,18.975,
4601,60,24.22,18.975,
4602,68,24.72,18.975,
4603,76,25.22,18.975,
4604,84,25.72,18.975,
4605,92,23.72,18.475,
4606,100,,,
4607,108,24.72,18.475,
4608,116,,,
4609,124,25.72,18.475,
4610,132,23.72,17.975,
4611,140,24.22,17.975,
4612,148,24.72,17.975,
4613,156,25.22,17.975,
4614,164,25.72,17.975,
4615,172,23.72,17.475,
4616,180,,,
4617,188,24.72,17.475,
4618,196,,,
4619,204,25.72,17.475,
4620,212,23.72,16.975,
4621,220,24.22,16.975,
4622,228,24.72,16.975,
4623,236,25.22,16.975,
4624,244,25.72,16.975,
4625,52,13.72,16.475,63.9234082
4626,60,14.22,16.475,30.2958729
4627,68,14.72,16.475,62.4669006
4628,76,15.22,16.475,86.595645
4629,84,15.72,16.475,36.6307684
4630,92,13.72,15.975,93.8406139
4631,100,,,
4632,108,14.72,15.975,89.0815756
4633,116,15.22,15.975,99.0916596
4634,124,15.72,15.975,97.0457061
4635,132,13.72,15.475,120.257369
4636,140,14.22,15.475,9.9E+40
4637,148,14.72,15.475,118.341427
4638,156,15.22,15.475,9.9E+40
4639,164,15.72,15.475,126.903083
4640,172,13.72,14.975,171.688296
4641,180,14.22,14.975,158.255065
4642,188,14.72,14.975,163.459069
4643,196,15.22,14.975,190.035475
4644,204,15.72,14.975,174.643038
4645,212,13.72,14.475,209.480193
4646,220,14.22,14.475,178.392638
4647,228,14.72,14.475,175.777321
4648,236,15.22,14.475,228.211332
4649,244,15.72,14.475,192.258013
4650,52,16.22,16.475,72.1695783
4651,60,,,
4652,68,17.22,16.475,29.8383448
4653,76,17.72,16.475,77.4222873
4654,84,18.22,16.475,85.5201229
4655,92,16.22,15.975,89.4522485
4656,100,16.72,15.975,91.3650125
4657,108,17.22,15.975,88.6184388
4658,116,17.72,15.975,102.926124
4659,124,18.22,15.975,104.172214
4660,132,16.22,15.475,62.5229495
4661,140,16.72,15.475,123.807265
4662,148,17.22,15.475,57.6783448
4663,156,17.72,15.475,125.583331
4664,164,18.22,15.475,124.3898
4665,172,,,
4666,180,16.72,14.975,167.076135
4667,188,17.22,14.975,158.837684
4668,196,17.72,14.975,187.123453
4669,204,18.22,14.975,185.779702
4670,212,16.22,14.475,176.577333
4671,220,16.72,14.475,202.500142
4672,228,,,
4673,236,17.72,14.475,181.258792
4674,244,18.22,14.475,254.00945
4675,52,18.72,16.475,3.95685641
4676,60,19.22,16.475,72.2541585
4677,68,19.72,16.475,59.386672
4678,76,20.22,16.475,40.8439729
4679,84,20.72,16.475,84.3582907
4680,92,18.72,15.975,81.2826953
4681,100,19.22,15.975,88.1574371
4682,108,19.72,15.975,96.1086465
4683,116,20.22,15.975,49.7582347
4684,124,20.72,15.975,55.1912067
4685,132,18.72,15.475,119.248431
4686,140,19.22,15.475,130.293445
4687,148,19.72,15.475,121.531855
4688,156,20.22,15.475,116.757287
4689,164,20.72,15.475,136.512329
4690,172,18.72,14.975,168.117946
4691,180,19.22,14.975,171.502573
4692,188,19.72,14.975,168.184551
4693,196,20.22,14.975,184.374944
4694,204,20.72,14.975,185.522791
4695,212,18.72,14.475,91.0963766
4696,220,19.22,14.475,163.002451
4697,228,19.72,14.475,216.092766
4698,236,20.22,14.475,158.61054
4699,244,20.72,14.475,187.844502
4700,52,,,
4701,60,21.72,16.475,57.0644247
4702,68,22.22,16.475,35.3289378
4703,76,22.72,16.475,83.4221409
4704,84,23.22,16.475,71.3555066
4705,92,21.22,15.975,44.8270062
4706,100,21.72,15.975,87.7293674
4707,108,,,
4708,116,22.72,15.975,107.340772
4709,124,23.22,15.975,92.4923856
4710,132,21.22,15.475,127.697769
4711,140,21.72,15.475,53.5483947
4712,148,22.22,15.475,119.52249
4713,156,22.72,15.475,126.089448
4714,164,23.22,15.475,126.540002
4715,172,21.22,14.975,169.519461
4716,180,21.72,14.975,160.525304
4717,188,22.22,14.975,158.938431
4718,196,22.72,14.975,187.588875
4719,204,,,
4720,212,21.22,14.475,213.560153
4721,220,21.72,14.475,166.663902
4722,228,22.22,14.475,199.765734
4723,236,22.72,14.475,234.346685
4724,244,23.22,14.475,98.1265019
4725,52,23.72,16.475,30.1757136
4726,60,,,
4727,68,24.72,16.475,51.7004571
4728,76,,,
4729,84,25.72,16.475,71.8047203
4730,92,23.72,15.975,89.9085335
4731,100,24.22,15.975,84.8321879
4732,108,24.72,15.975,86.0734406
4733,116,25.22,15.975,95.9735879
4734,124,25.72,15.975,87.3990108
4735,132,23.72,15.475,132.180612
4736,140,,,
4737,148,24.72,15.475,51.6951856
4738,156,25.22,15.475,132.211188
4739,164,25.72,15.475,126.014069
4740,172,23.72,14.975,157.445642
4741,180,24.22,14.975,3.95912139
4742,188,24.72,14.975,156.266095
4743,196,25.22,14.975,173.638641
4744,204,25.72,14.975,182.72241
4745,212,23.72,14.475,168.520854
4746,220,24.22,14.475,201.458062
4747,228,24.72,14.475,172.302819
4748,236,25.22,14.475,192.946445
4749,244,25.72,14.475,186.600793
4750,52,13.72,13.975,
4751,60,,,
4752,68,14.72,13.975,
4753,76,15.22,13.975,
4754,84,,,
4755,92,13.72,13.475,
4756,100,14.22,13.475,
4757,108,14.72,13.475,
4758,116,15.22,13.475,
4759,124,15.72,13.475,
4760,132,13.72,12.975,
4761,140,14.22,12.975,
4762,148,,,
4763,156,15.22,12.975,
4764,164,15.72,12.975,
4765,172,13.72,12.475,
4766,180,14.22,12.475,
4767,188,14.72,12.475,
4768,196,,,
4769,204,15.72,12.475,
4770,212,13.72,11.975,
4771,220,14.22,11.975,
4772,228,,,
4773,236,15.22,11.975,
4774,244,15.72,11.975,
4775,52,16.22,13.975,60.1913753
4776,60,16.72,13.975,56.5248888
4777,68,17.22,13.975,57.1016636
4778,76,17.72,13.975,9.9E+40
4779,84,18.22,13.975,9.9E+40
4780,92,16.22,13.475,102.154817
4781,100,16.72,13.475,103.113458
4782,108,,,
4783,116,17.72,13.475,113.100004
4784,124,18.22,13.475,119.637252
4785,132,,,
4786,140,16.72,12.975,126.941354
4787,148,17.22,12.975,117.1967
4788,156,17.72,12.975,139.285288
4789,164,18.22,12.975,151.191643
4790,172,16.22,12.475,160.600582
4791,180,16.72,12.475,157.580931
4792,188,17.22,12.475,148.71299
4793,196,,,
4794,204,18.22,12.475,191.288766
4795,212,16.22,11.975,203.186091
4796,220,16.72,11.975,216.870544
4797,228,17.22,11.975,206.05605
4798,236,17.72,11.975,237.907549
4799,244,18.22,11.975,239.453293
4800,52,18.72,13.975,22.9256635
4801,60,19.22,13.975,61.1951824
4802,68,19.72,13.975,61.9526076
4803,76,20.22,13.975,71.2971111
4804,84,20.72,13.975,77.9380201
4805,92,18.72,13.475,97.2194081
4806,100,19.22,13.475,97.1834161
4807,108,19.72,13.475,105.730208
4808,116,20.22,13.475,108.922834
4809,124,,,
4810,132,,,
4811,140,19.22,12.975,128.133146
4812,148,19.72,12.975,132.63201
4813,156,20.22,12.975,136.629519
4814,164,20.72,12.975,140.548583
4815,172,,,
4816,180,19.22,12.475,164.34963
4817,188,19.72,12.475,163.375058
4818,196,20.22,12.475,155.18477
4819,204,20.72,12.475,174.363698
4820,212,18.72,11.975,186.604565
4821,220,19.22,11.975,198.649647
4822,228,19.72,11.975,219.391641
4823,236,20.22,11.975,224.224722
4824,244,20.72,11.975,107.560549
4825,52,21.22,13.975,57.7380859
4826,60,21.72,13.975,4.31134946
4827,68,22.22,13.975,31.7909675
4828,76,,,
4829,84,23.22,13.975,64.8346837
4830,92,21.22,13.475,97.7211201
4831,100,21.72,13.475,91.05909
4832,108,22.22,13.475,48.0664415
4833,116,22.72,13.475,116.574166
4834,124,,,
4835,132,21.22,12.975,125.028865
4836,140,21.72,12.975,62.0193699
4837,148,22.22,12.975,126.836666
4838,156,22.72,12.975,132.912319
4839,164,23.22,12.975,124.336008
4840,172,,,
4841,180,21.72,12.475,144.402505
4842,188,22.22,12.475,77.4058342
4843,196,22.72,12.475,178.661773
4844,204,23.22,12.475,147.211236
4845,212,21.22,11.975,201.314025
4846,220,21.72,11.975,185.499746
4847,228,,,
4848,236,22.72,11.975,237.951818
4849,244,23.22,11.975,224.221142
4850,52,23.72,13.975,56.1041404
4851,60,,,
4852,68,24.72,13.975,47.3082968
4853,76,25.22,13.975,67.1777257
4854,84,25.72,13.975,63.503674
